Id,birth,death|
1,0.0,14.0
2,0.0,19.0
3,0.0,45.0
4,0.0,28.0
5,0.0,10.0
6,2.0,18.0
7,3.0,7.0
8,3.0,13.0
9,4.0,6.0
10,4.0,8.0
11,4.0,4.0
12,5.0,5.0
13,5.0,8.0
14,5.0,5.0
15,5.0,29.0
16,5.0,5.0
17,6.0,53.0
18,6.0,37.0
19,6.0,17.0
20,6.0,13.0
21,7.0,9.0
22,7.0,19.0
23,7.0,25.0
24,7.0,12.0
25,7.0,8.0
26,8.0,16.0
27,8.0,28.0
28,9.0,28.0
29,9.0,42.0
30,9.0,32.0
31,10.0,28.0
32,10.0,11.0
33,10.0,39.0
34,10.0,15.0
35,10.0,26.0
36,10.0,46.0
37,11.0,40.0
38,11.0,19.0
39,11.0,52.0
40,11.0,30.0
41,11.0,13.0
42,11.0,21.0
43,11.0,37.0
44,11.0,24.0
45,12.0,54.0
46,12.0,69.0
47,12.0,16.0
48,12.0,39.0
49,12.0,26.0
50,12.0,16.0
51,12.0,17.0
52,12.0,26.0
53,12.0,24.0
54,12.0,15.0
55,12.0,38.0
56,12.0,12.0
57,12.0,16.0
58,13.0,45.0
59,13.0,39.0
60,13.0,30.0
61,13.0,16.0
62,13.0,22.0
63,13.0,20.0
64,13.0,37.0
65,13.0,33.0
66,13.0,16.0
67,13.0,23.0
68,13.0,94.0
69,13.0,36.0
70,13.0,55.0
71,13.0,25.0
72,13.0,57.0
73,13.0,29.0
74,13.0,58.0
75,13.0,42.0
76,13.0,35.0
77,13.0,41.0
78,13.0,35.0
79,13.0,28.0
80,13.0,45.0
81,14.0,34.0
82,14.0,24.0
83,14.0,34.0
84,14.0,35.0
85,14.0,38.0
86,14.0,15.0
87,14.0,25.0
88,14.0,34.0
89,14.0,16.0
90,14.0,14.0
91,14.0,37.0
92,14.0,31.0
93,14.0,23.0
94,14.0,20.0
95,14.0,34.0
96,14.0,17.0
97,14.0,37.0
98,14.0,23.0
99,14.0,19.0
100,14.0,15.0
101,15.0,29.0
102,15.0,50.0
103,15.0,38.0
104,15.0,48.0
105,15.0,33.0
106,15.0,19.0
107,15.0,30.0
108,15.0,20.0
109,15.0,145.0
110,15.0,17.0
111,15.0,15.0
112,15.0,33.0
113,15.0,28.0
114,15.0,17.0
115,15.0,18.0
116,15.0,29.0
117,15.0,43.0
118,15.0,23.0
119,15.0,34.0
120,15.0,22.0
121,15.0,30.0
122,15.0,86.0
123,15.0,16.0
124,15.0,23.0
125,15.0,22.0
126,15.0,56.0
127,15.0,44.0
128,15.0,25.0
129,15.0,25.0
130,15.0,26.0
131,15.0,41.0
132,15.0,23.0
133,15.0,17.0
134,15.0,15.0
135,15.0,43.0
136,15.0,22.0
137,15.0,20.0
138,15.0,15.0
139,15.0,26.0
140,15.0,33.0
141,15.0,65.0
142,15.0,21.0
143,15.0,20.0
144,16.0,18.0
145,16.0,19.0
146,16.0,19.0
147,16.0,49.0
148,16.0,104.0
149,16.0,40.0
150,16.0,38.0
151,16.0,25.0
152,16.0,66.0
153,16.0,48.0
154,16.0,17.0
155,16.0,46.0
156,16.0,25.0
157,16.0,20.0
158,16.0,17.0
159,16.0,22.0
160,16.0,31.0
161,16.0,28.0
162,16.0,18.0
163,16.0,20.0
164,16.0,36.0
165,16.0,23.0
166,16.0,33.0
167,16.0,16.0
168,16.0,60.0
169,16.0,32.0
170,16.0,37.0
171,16.0,17.0
172,16.0,28.0
173,16.0,54.0
174,16.0,16.0
175,16.0,24.0
176,16.0,20.0
177,16.0,30.0
178,16.0,19.0
179,16.0,44.0
180,16.0,34.0
181,17.0,88.0
182,17.0,54.0
183,17.0,44.0
184,17.0,44.0
185,17.0,54.0
186,17.0,47.0
187,17.0,48.0
188,17.0,38.0
189,17.0,30.0
190,17.0,73.0
191,17.0,60.0
192,17.0,39.0
193,17.0,19.0
194,17.0,29.0
195,17.0,43.0
196,17.0,54.0
197,17.0,24.0
198,17.0,17.0
199,17.0,33.0
200,17.0,33.0
201,17.0,25.0
202,17.0,36.0
203,17.0,18.0
204,17.0,27.0
205,17.0,46.0
206,17.0,30.0
207,17.0,39.0
208,17.0,63.0
209,17.0,39.0
210,17.0,18.0
211,17.0,35.0
212,17.0,52.0
213,17.0,35.0
214,17.0,57.0
215,17.0,43.0
216,17.0,31.0
217,17.0,55.0
218,17.0,39.0
219,17.0,51.0
220,17.0,46.0
221,17.0,22.0
222,17.0,46.0
223,17.0,19.0
224,17.0,39.0
225,17.0,23.0
226,17.0,70.0
227,17.0,23.0
228,17.0,27.0
229,17.0,26.0
230,17.0,24.0
231,17.0,28.0
232,17.0,36.0
233,17.0,34.0
234,17.0,19.0
235,18.0,36.0
236,18.0,50.0
237,18.0,43.0
238,18.0,58.0
239,18.0,39.0
240,18.0,18.0
241,18.0,40.0
242,18.0,43.0
243,18.0,20.0
244,18.0,32.0
245,18.0,45.0
246,18.0,20.0
247,18.0,37.0
248,18.0,26.0
249,18.0,20.0
250,18.0,32.0
251,18.0,47.0
252,18.0,28.0
253,18.0,27.0
254,18.0,28.0
255,18.0,57.0
256,18.0,39.0
257,18.0,78.0
258,18.0,42.0
259,18.0,18.0
260,18.0,38.0
261,18.0,22.0
262,18.0,36.0
263,18.0,47.0
264,18.0,30.0
265,18.0,22.0
266,18.0,27.0
267,18.0,18.0
268,18.0,40.0
269,18.0,19.0
270,18.0,33.0
271,18.0,37.0
272,18.0,34.0
273,18.0,57.0
274,18.0,66.0
275,18.0,21.0
276,18.0,21.0
277,18.0,41.0
278,18.0,29.0
279,18.0,25.0
280,18.0,65.0
281,18.0,29.0
282,18.0,22.0
283,18.0,27.0
284,18.0,69.0
285,18.0,44.0
286,18.0,60.0
287,18.0,26.0
288,18.0,62.0
289,18.0,23.0
290,18.0,84.0
291,18.0,35.0
292,18.0,25.0
293,18.0,50.0
294,18.0,18.0
295,18.0,47.0
296,18.0,29.0
297,19.0,45.0
298,19.0,34.0
299,19.0,52.0
300,19.0,41.0
301,19.0,42.0
302,19.0,33.0
303,19.0,34.0
304,19.0,41.0
305,19.0,78.0
306,19.0,21.0
307,19.0,21.0
308,19.0,29.0
309,19.0,33.0
310,19.0,34.0
311,19.0,33.0
312,19.0,33.0
313,19.0,32.0
314,19.0,39.0
315,19.0,29.0
316,19.0,29.0
317,19.0,66.0
318,19.0,32.0
319,19.0,20.0
320,19.0,42.0
321,19.0,23.0
322,19.0,24.0
323,19.0,40.0
324,19.0,20.0
325,19.0,33.0
326,19.0,23.0
327,19.0,36.0
328,19.0,49.0
329,19.0,25.0
330,19.0,23.0
331,19.0,21.0
332,19.0,25.0
333,19.0,30.0
334,19.0,21.0
335,19.0,64.0
336,19.0,19.0
337,19.0,38.0
338,19.0,23.0
339,19.0,49.0
340,19.0,26.0
341,19.0,22.0
342,19.0,34.0
343,19.0,19.0
344,19.0,24.0
345,19.0,62.0
346,19.0,25.0
347,19.0,26.0
348,19.0,59.0
349,19.0,36.0
350,19.0,25.0
351,19.0,34.0
352,19.0,22.0
353,19.0,32.0
354,19.0,21.0
355,19.0,40.0
356,19.0,58.0
357,19.0,26.0
358,19.0,37.0
359,19.0,29.0
360,19.0,27.0
361,19.0,25.0
362,19.0,22.0
363,19.0,20.0
364,19.0,28.0
365,19.0,20.0
366,19.0,22.0
367,19.0,80.0
368,19.0,29.0
369,19.0,24.0
370,19.0,26.0
371,19.0,44.0
372,19.0,36.0
373,19.0,27.0
374,19.0,19.0
375,19.0,39.0
376,19.0,40.0
377,19.0,34.0
378,19.0,27.0
379,19.0,78.0
380,19.0,27.0
381,19.0,30.0
382,19.0,25.0
383,19.0,19.0
384,19.0,22.0
385,20.0,28.0
386,20.0,29.0
387,20.0,49.0
388,20.0,36.0
389,20.0,51.0
390,20.0,28.0
391,20.0,60.0
392,20.0,38.0
393,20.0,23.0
394,20.0,62.0
395,20.0,59.0
396,20.0,24.0
397,20.0,21.0
398,20.0,27.0
399,20.0,38.0
400,20.0,41.0
401,20.0,37.0
402,20.0,24.0
403,20.0,44.0
404,20.0,33.0
405,20.0,52.0
406,20.0,34.0
407,20.0,38.0
408,20.0,32.0
409,20.0,32.0
410,20.0,30.0
411,20.0,49.0
412,20.0,34.0
413,20.0,39.0
414,20.0,34.0
415,20.0,21.0
416,20.0,27.0
417,20.0,34.0
418,20.0,37.0
419,20.0,51.0
420,20.0,28.0
421,20.0,20.0
422,20.0,49.0
423,20.0,35.0
424,20.0,31.0
425,20.0,29.0
426,20.0,33.0
427,20.0,27.0
428,20.0,29.0
429,20.0,57.0
430,20.0,38.0
431,20.0,47.0
432,20.0,22.0
433,20.0,32.0
434,20.0,44.0
435,20.0,24.0
436,20.0,31.0
437,20.0,23.0
438,20.0,20.0
439,20.0,72.0
440,20.0,40.0
441,20.0,26.0
442,20.0,25.0
443,20.0,22.0
444,20.0,46.0
445,20.0,48.0
446,20.0,33.0
447,20.0,26.0
448,20.0,40.0
449,20.0,36.0
450,20.0,20.0
451,20.0,21.0
452,20.0,37.0
453,20.0,42.0
454,20.0,74.0
455,20.0,23.0
456,20.0,22.0
457,20.0,29.0
458,20.0,62.0
459,20.0,30.0
460,20.0,27.0
461,20.0,22.0
462,20.0,23.0
463,20.0,35.0
464,20.0,24.0
465,20.0,37.0
466,20.0,23.0
467,20.0,20.0
468,20.0,44.0
469,20.0,78.0
470,20.0,23.0
471,20.0,30.0
472,20.0,28.0
473,20.0,24.0
474,20.0,50.0
475,20.0,44.0
476,20.0,42.0
477,20.0,32.0
478,20.0,34.0
479,20.0,32.0
480,20.0,30.0
481,20.0,42.0
482,20.0,21.0
483,20.0,27.0
484,20.0,26.0
485,20.0,22.0
486,20.0,43.0
487,20.0,21.0
488,20.0,27.0
489,20.0,29.0
490,20.0,41.0
491,20.0,22.0
492,20.0,41.0
493,20.0,23.0
494,20.0,30.0
495,20.0,34.0
496,20.0,55.0
497,20.0,40.0
498,20.0,24.0
499,20.0,33.0
500,20.0,46.0
501,20.0,38.0
502,20.0,28.0
503,20.0,30.0
504,20.0,24.0
505,20.0,64.0
506,20.0,21.0
507,21.0,28.0
508,21.0,21.0
509,21.0,45.0
510,21.0,60.0
511,21.0,30.0
512,21.0,71.0
513,21.0,31.0
514,21.0,70.0
515,21.0,43.0
516,21.0,23.0
517,21.0,40.0
518,21.0,40.0
519,21.0,30.0
520,21.0,42.0
521,21.0,29.0
522,21.0,21.0
523,21.0,22.0
524,21.0,40.0
525,21.0,23.0
526,21.0,55.0
527,21.0,57.0
528,21.0,30.0
529,21.0,24.0
530,21.0,38.0
531,21.0,31.0
532,21.0,27.0
533,21.0,53.0
534,21.0,35.0
535,21.0,27.0
536,21.0,28.0
537,21.0,34.0
538,21.0,28.0
539,21.0,40.0
540,21.0,29.0
541,21.0,52.0
542,21.0,22.0
543,21.0,37.0
544,21.0,33.0
545,21.0,31.0
546,21.0,32.0
547,21.0,49.0
548,21.0,48.0
549,21.0,23.0
550,21.0,104.0
551,21.0,23.0
552,21.0,25.0
553,21.0,31.0
554,21.0,26.0
555,21.0,34.0
556,21.0,61.0
557,21.0,26.0
558,21.0,25.0
559,21.0,42.0
560,21.0,25.0
561,21.0,34.0
562,21.0,39.0
563,21.0,44.0
564,21.0,38.0
565,21.0,28.0
566,21.0,47.0
567,21.0,45.0
568,21.0,38.0
569,21.0,74.0
570,21.0,30.0
571,21.0,61.0
572,21.0,41.0
573,21.0,48.0
574,21.0,26.0
575,21.0,26.0
576,21.0,22.0
577,21.0,29.0
578,21.0,44.0
579,21.0,21.0
580,21.0,58.0
581,21.0,48.0
582,21.0,43.0
583,21.0,35.0
584,21.0,27.0
585,21.0,27.0
586,21.0,23.0
587,21.0,70.0
588,21.0,22.0
589,21.0,25.0
590,21.0,33.0
591,21.0,46.0
592,21.0,27.0
593,21.0,39.0
594,21.0,44.0
595,21.0,79.0
596,21.0,33.0
597,21.0,27.0
598,21.0,63.0
599,21.0,25.0
600,21.0,23.0
601,21.0,31.0
602,21.0,59.0
603,21.0,22.0
604,21.0,22.0
605,21.0,37.0
606,21.0,33.0
607,21.0,30.0
608,21.0,27.0
609,21.0,30.0
610,21.0,25.0
611,21.0,33.0
612,21.0,27.0
613,21.0,23.0
614,21.0,22.0
615,21.0,23.0
616,21.0,29.0
617,21.0,33.0
618,21.0,22.0
619,21.0,40.0
620,21.0,24.0
621,21.0,84.0
622,21.0,37.0
623,21.0,22.0
624,21.0,28.0
625,21.0,43.0
626,21.0,55.0
627,21.0,26.0
628,21.0,36.0
629,21.0,53.0
630,21.0,21.0
631,21.0,31.0
632,21.0,23.0
633,21.0,22.0
634,21.0,31.0
635,21.0,36.0
636,21.0,58.0
637,21.0,31.0
638,21.0,22.0
639,21.0,29.0
640,21.0,35.0
641,21.0,71.0
642,21.0,28.0
643,21.0,25.0
644,21.0,29.0
645,21.0,27.0
646,21.0,44.0
647,21.0,31.0
648,21.0,32.0
649,21.0,67.0
650,22.0,46.0
