Time,Pooled reads (25),Skew (25) ,Pooled reads (50),Skew (50) ,Pooled reads (100),Skew (100) ,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (25),I (25),R (25),S (50),I (50),R (50),S (100),I (100),R (100),pool Ct (25),pool Ct (50),pool Ct (100),Sim no
20.0,41.0,4.7091,0.0,0.0,55143.0,9.8167,0.0077666666666666665,0.027566666666666666,28966,827,207,23,0,2,49,0,1,95,1,4,34.67324472788466,Infinity,30.159475328254295,1
20.0,0.0,0.0,3709.0,7.0707,12.0,7.67,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,47,2,1,93,6,1,Infinity,31.85065086689777,35.44307056810672,2
20.0,26783.0,5.0,17.0,7.0711,0.0,0.0,0.0077666666666666665,0.027566666666666666,28966,827,207,23,0,2,48,1,1,100,0,0,30.611949459658614,35.22483744306039,Infinity,3
20.0,33.0,5.0,0.0,0.0,6.0,10.0,0.0077666666666666665,0.027566666666666666,28966,827,207,24,0,1,50,0,0,98,2,0,34.80924746941741,Infinity,35.87736505000997,4
20.0,0.0,0.0,6.0,7.0711,32230.0,10.0,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,48,0,2,96,1,3,Infinity,35.87736505000997,30.49595521420079,5
20.0,6.0,5.0,1.0,7.0711,106.0,10.0,0.0077666666666666665,0.027566666666666666,28966,827,207,24,1,0,48,2,0,98,0,2,35.87736505000997,37.0,34.078101271899186,6
20.0,0.0,0.0,108.0,7.0711,0.0,0.0,0.0077666666666666665,0.027566666666666666,28966,827,207,24,0,1,49,0,1,98,0,2,Infinity,34.06638963193316,Infinity,7
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077666666666666665,0.027566666666666666,28966,827,207,24,1,0,50,0,0,99,0,1,Infinity,Infinity,Infinity,8
20.0,1857.0,4.9908,1152.0,7.0711,2196.0,5.8144,0.0077666666666666665,0.027566666666666666,28966,827,207,23,0,2,49,0,1,96,3,1,32.28410127687581,32.583257690503686,32.1790436006988,9
20.0,19.0,5.0,0.0,0.0,91.0,9.9114,0.0077666666666666665,0.027566666666666666,28966,827,207,24,1,0,48,1,1,93,5,2,35.15514852138645,Infinity,34.17370069840215,10
20.0,0.0,0.0,494.0,5.6213,14253.0,7.9572,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,47,0,3,88,1,11,Infinity,33.1137734892789,31.00718000211266,11
20.0,0.0,0.0,0.0,0.0,556.0,9.7437,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,50,0,0,95,4,1,Infinity,Infinity,33.03969421131526,12
20.0,0.0,0.0,34.0,5.2543,0.0,0.0,0.0077666666666666665,0.027566666666666666,28966,827,207,24,0,1,48,0,2,99,0,1,Infinity,34.790542961157136,Infinity,13
20.0,16088.0,5.0,183.0,7.0711,592.0,9.9817,0.0077666666666666665,0.027566666666666666,28966,827,207,24,0,1,48,1,1,96,2,2,30.931300342027583,33.73597303259208,33.00038522196201,14
20.0,0.0,0.0,0.0,0.0,2454.0,8.0081,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,50,0,0,94,5,1,Infinity,Infinity,32.10944478537366,15
20.0,0.0,0.0,29.0,7.0711,209.0,9.9457,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,47,2,1,98,1,1,Infinity,34.89020566062523,33.65273645889064,16
20.0,0.0,0.0,76.0,7.0711,3603.0,9.7704,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,49,0,1,95,3,2,Infinity,34.28655955757995,31.868818106928764,17
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,50,0,0,99,1,0,Infinity,Infinity,Infinity,18
20.0,247.0,5.0,15594.0,7.0179,12.0,10.0,0.0077666666666666665,0.027566666666666666,28966,827,207,23,2,0,48,1,1,99,0,1,33.54806797118215,30.95084096497737,35.44307056810672,19
20.0,0.0,0.0,7.0,7.0711,4.0,10.0,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,47,2,1,95,4,1,Infinity,35.78078124860645,36.1314110361935,20
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,50,0,0,98,0,2,Infinity,Infinity,Infinity,21
20.0,1218.0,5.0,1.0,7.0711,536.0,9.9448,0.0077666666666666665,0.027566666666666666,28966,827,207,24,0,1,48,1,1,96,1,3,32.54835195924165,37.0,33.06264749214147,22
20.0,0.0,0.0,308353.0,7.0711,67.0,9.6774,0.0077666666666666665,0.027566666666666666,28966,827,207,24,0,1,47,1,2,96,2,2,Infinity,29.080977414281502,34.365530937851226,23
20.0,0.0,0.0,3882.0,7.0693,280.0,10.0,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,47,2,1,99,0,1,Infinity,31.82208738387568,33.46949724391098,24
20.0,146.0,4.9272,638.0,4.9551,56.0,9.4018,0.0077666666666666665,0.027566666666666666,28966,827,207,23,0,2,48,0,2,97,0,3,33.87749886822593,32.95349911622616,34.47789780289669,25
20.0,0.0,0.0,0.0,0.0,95304.0,9.9999,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,48,0,2,98,2,0,Infinity,Infinity,29.816661066480552,26
20.0,28.0,5.0,62.0,7.0711,60602.0,10.0,0.0077666666666666665,0.027566666666666666,28966,827,207,24,1,0,46,4,0,94,3,3,34.91219228479994,34.414125398230276,30.10032978390311,27
20.0,14.0,5.0,0.0,0.0,117.0,10.0,0.0077666666666666665,0.027566666666666666,28966,827,207,24,0,1,50,0,0,97,1,2,35.346486766703194,Infinity,34.01623851362214,28
20.0,7918.0,4.6142,0.0,0.0,0.0,0.0,0.0077666666666666665,0.027566666666666666,28966,827,207,21,1,3,50,0,0,100,0,0,31.37548675554481,Infinity,Infinity,29
20.0,0.0,0.0,296.0,7.0711,21192.0,6.8501,0.0077666666666666665,0.027566666666666666,28966,827,207,25,0,0,46,2,2,95,2,3,Infinity,33.43467970386527,30.75865318849835,30
20.0,378.0,5.0,0.0,0.0,0.0,0.0,0.0077666666666666665,0.027566666666666666,28966,827,207,24,0,1,50,0,0,99,0,1,33.281465362442866,Infinity,Infinity,31
20.0,3.0,5.0,142368.0,7.0711,69.0,9.9694,0.0077666666666666665,0.027566666666666666,28966,827,207,23,1,1,48,2,0,98,0,2,36.31165953191322,29.565197509849398,34.347101535850186,32
20.0,1348.0,4.9933,1.0,7.0711,19.0,8.8214,0.0077666666666666665,0.027566666666666666,28966,827,207,23,1,1,46,2,2,95,0,5,32.48481191300375,37.0,35.15514852138645,33
20.0,111.0,5.0,66267.0,7.0711,2337.0,10.0,0.0077666666666666665,0.027566666666666666,28966,827,207,24,0,1,49,0,1,97,3,0,34.049222681488246,30.04433828033285,32.14005278118433,34
