Time,Predicted pooled reads,Skew,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (sample),I (sample),R (sample),Sim no
30.0,16.92,-3.7379,0.03523333333333333,0.151,24156,4530,1314,45,5,0,1
30.0,3.94,-4.2053,0.03523333333333333,0.151,24156,4530,1314,44,0,6,2
30.0,13.36,-3.1378,0.03523333333333333,0.151,24156,4530,1314,43,0,7,3
30.0,70.14,-2.8564,0.03523333333333333,0.151,24156,4530,1314,43,0,7,4
30.0,45.6,-2.4297,0.03523333333333333,0.151,24156,4530,1314,37,10,3,5
30.0,47.82,-2.0231,0.03523333333333333,0.151,24156,4530,1314,37,13,0,6
30.0,4.02,-2.0609,0.03523333333333333,0.151,24156,4530,1314,40,0,10,7
30.0,98.22,-2.6496,0.03523333333333333,0.151,24156,4530,1314,39,9,2,8
30.0,4.52,-1.2309,0.03523333333333333,0.151,24156,4530,1314,37,3,10,9
30.0,32.44,-2.9444,0.03523333333333333,0.151,24156,4530,1314,42,0,8,10
30.0,30.66,-1.9583,0.03523333333333333,0.151,24156,4530,1314,39,5,6,11
30.0,24.9,-2.9489,0.03523333333333333,0.151,24156,4530,1314,40,0,10,12
30.0,14.7,-2.0176,0.03523333333333333,0.151,24156,4530,1314,37,8,5,13
30.0,31.98,-2.3009,0.03523333333333333,0.151,24156,4530,1314,38,6,6,14
30.0,107.2,-2.3519,0.03523333333333333,0.151,24156,4530,1314,40,6,4,15
30.0,1.5,-2.4779,0.03523333333333333,0.151,24156,4530,1314,43,5,2,16
30.0,20.04,-2.1616,0.03523333333333333,0.151,24156,4530,1314,40,3,7,17
30.0,9.5,-3.4503,0.03523333333333333,0.151,24156,4530,1314,43,5,2,18
30.0,115.18,-2.1508,0.03523333333333333,0.151,24156,4530,1314,37,4,9,19
30.0,0.8,-3.7716,0.03523333333333333,0.151,24156,4530,1314,42,6,2,20
30.0,51.22,-2.4445,0.03523333333333333,0.151,24156,4530,1314,38,6,6,21
30.0,8.52,-2.9487,0.03523333333333333,0.151,24156,4530,1314,41,7,2,22
30.0,80.9,-2.1625,0.03523333333333333,0.151,24156,4530,1314,38,10,2,23
30.0,25.42,-4.0583,0.03523333333333333,0.151,24156,4530,1314,45,0,5,24
30.0,79.6,-4.2773,0.03523333333333333,0.151,24156,4530,1314,45,0,5,25
30.0,26.24,-3.4364,0.03523333333333333,0.151,24156,4530,1314,40,10,0,26
30.0,58.46,-2.2949,0.03523333333333333,0.151,24156,4530,1314,41,8,1,27
30.0,1.14,-3.4652,0.03523333333333333,0.151,24156,4530,1314,45,0,5,28
30.0,16.8,-2.7714,0.03523333333333333,0.151,24156,4530,1314,37,6,7,29
30.0,33.54,-2.7379,0.03523333333333333,0.151,24156,4530,1314,43,0,7,30
30.0,13.62,-2.1646,0.03523333333333333,0.151,24156,4530,1314,39,5,6,31
30.0,64.08,-3.5211,0.03523333333333333,0.151,24156,4530,1314,43,0,7,32
30.0,1.36,-2.8516,0.03523333333333333,0.151,24156,4530,1314,43,0,7,33
30.0,0.74,-0.5117,0.03523333333333333,0.151,24156,4530,1314,42,6,2,34
30.0,17.92,-2.4782,0.03523333333333333,0.151,24156,4530,1314,38,8,4,35
30.0,7.02,-3.3451,0.03523333333333333,0.151,24156,4530,1314,44,0,6,36
30.0,28.26,-3.2293,0.03523333333333333,0.151,24156,4530,1314,39,8,3,37
30.0,17.22,-4.922,0.03523333333333333,0.151,24156,4530,1314,43,5,2,38
30.0,9.2,-2.7671,0.03523333333333333,0.151,24156,4530,1314,43,0,7,39
30.0,61.14,-2.1433,0.03523333333333333,0.151,24156,4530,1314,37,10,3,40
30.0,76.08,-3.1864,0.03523333333333333,0.151,24156,4530,1314,42,0,8,41
30.0,10.98,-2.6375,0.03523333333333333,0.151,24156,4530,1314,44,5,1,42
30.0,7.88,-2.395,0.03523333333333333,0.151,24156,4530,1314,39,7,4,43
30.0,6.18,-2.2702,0.03523333333333333,0.151,24156,4530,1314,41,4,5,44
30.0,4.68,-3.0336,0.03523333333333333,0.151,24156,4530,1314,43,7,0,45
30.0,3.16,-2.0953,0.03523333333333333,0.151,24156,4530,1314,40,8,2,46
30.0,5.52,-2.8605,0.03523333333333333,0.151,24156,4530,1314,43,0,7,47
30.0,357.94,-4.0399,0.03523333333333333,0.151,24156,4530,1314,44,0,6,48
30.0,2.06,-2.4992,0.03523333333333333,0.151,24156,4530,1314,40,4,6,49
30.0,0.28,-4.481,0.03523333333333333,0.151,24156,4530,1314,45,0,5,50
30.0,33.74,-3.7058,0.03523333333333333,0.151,24156,4530,1314,42,7,1,51
30.0,54.06,-2.1521,0.03523333333333333,0.151,24156,4530,1314,41,5,4,52
30.0,33.26,-2.4472,0.03523333333333333,0.151,24156,4530,1314,39,9,2,53
30.0,36.4,-3.9839,0.03523333333333333,0.151,24156,4530,1314,45,0,5,54
